Q,CC,MaxCC
0,100,1
0.001,100,1
0.002,100,1
0.003,100,1
0.004,99,2
0.005,100,1
0.006,100,1
0.007,99,2
0.008,99,2
0.009,100,1
0.01,98,3
0.011,99,2
0.012,100,1
0.013,100,1
0.014,100,1
0.015,100,1
0.016,100,1
0.017,97,2
0.018,97,2
0.019,99,2
0.02,99,2
0.021,97,2
0.022,100,1
0.023,97,2
0.024,99,2
0.025,97,2
0.026,100,1
0.027,98,2
0.028,100,1
0.029,95,2
0.03,97,2
0.031,96,3
0.032,100,1
0.033,97,2
0.034,99,2
0.035,98,2
0.036,96,2
0.037,94,3
0.038,99,2
0.039,98,2
0.04,99,2
0.041,95,4
0.042,97,2
0.043,98,2
0.044,96,2
0.045,95,2
0.046,93,2
0.047,97,2
0.048,100,1
0.049,95,2
0.05,96,2
0.051,96,3
0.052,96,2
0.053,96,3
0.054,95,3
0.055,98,2
0.056,100,1
0.057,96,2
0.058,97,2
0.059,98,2
0.06,94,2
0.061,94,2
0.062,95,2
0.063,97,3
0.064,92,3
0.065,94,3
0.066,97,2
0.067,95,2
0.068,91,3
0.069,96,2
0.07,92,3
0.071,95,2
0.072,95,2
0.073,95,2
0.074,90,3
0.075,96,2
0.076,95,2
0.077,94,2
0.078,94,2
0.079,97,2
0.08,96,3
0.081,92,2
0.082,95,2
0.083,96,2
0.084,95,2
0.085,94,3
0.086,96,2
0.087,92,4
0.088,87,4
0.089,95,2
0.09,90,4
0.091,90,3
0.092,98,2
0.093,93,2
0.094,91,3
0.095,89,3
0.096,93,2
0.097,95,2
0.098,93,2
0.099,93,2
0.1,92,3
0.101,94,2
0.102,95,2
0.103,92,3
0.104,93,4
0.105,87,3
0.106,96,2
0.107,92,2
0.108,95,2
0.109,92,2
0.11,93,3
0.111,89,3
0.112,95,3
0.113,93,2
0.114,99,2
0.115,92,2
0.116,88,3
0.117,90,2
0.118,90,3
0.119,90,3
0.12,93,3
0.121,89,4
0.122,92,3
0.123,90,4
0.124,87,4
0.125,93,2
0.126,93,4
0.127,89,3
0.128,93,2
0.129,99,2
0.13,92,3
0.131,94,3
0.132,88,3
0.133,87,3
0.134,88,4
0.135,90,3
0.136,93,2
0.137,92,2
0.138,88,4
0.139,93,3
0.14,86,3
0.141,85,4
0.142,92,4
0.143,87,3
0.144,89,4
0.145,92,2
0.146,94,3
0.147,86,3
0.148,93,3
0.149,91,3
0.15,92,3
0.151,89,2
0.152,86,4
0.153,80,4
0.154,89,3
0.155,92,2
0.156,89,3
0.157,91,3
0.158,87,3
0.159,86,3
0.16,86,4
0.161,89,2
0.162,86,3
0.163,90,4
0.164,88,3
0.165,82,7
0.166,83,4
0.167,85,3
0.168,89,3
0.169,88,3
0.17,86,3
0.171,90,5
0.172,88,2
0.173,85,4
0.174,88,3
0.175,85,3
0.176,85,4
0.177,86,2
0.178,80,5
0.179,80,4
0.18,88,3
0.181,90,4
0.182,90,2
0.183,87,2
0.184,81,3
0.185,91,2
0.186,85,3
0.187,92,3
0.188,82,4
0.189,88,3
0.19,92,3
0.191,88,3
0.192,77,4
0.193,89,3
