Q,CC,MaxCC
0,100,1
0.001,100,1
0.002,100,1
0.003,100,1
0.004,100,1
0.005,99,2
0.006,100,1
0.007,100,1
0.008,100,1
0.009,100,1
0.01,99,2
0.011,100,1
0.012,100,1
0.013,100,1
0.014,100,1
0.015,100,1
0.016,100,1
0.017,100,1
0.018,99,2
0.019,100,1
0.02,100,1
0.021,100,1
0.022,99,2
0.023,99,2
0.024,100,1
0.025,100,1
0.026,100,1
0.027,100,1
0.028,100,1
0.029,100,1
0.03,100,1
0.031,100,1
0.032,100,1
0.033,100,1
0.034,100,1
0.035,100,1
0.036,100,1
0.037,100,1
0.038,100,1
0.039,100,1
0.04,100,1
0.041,100,1
0.042,100,1
0.043,100,1
0.044,99,2
0.045,99,2
0.046,100,1
0.047,99,2
0.048,99,2
0.049,100,1
0.05,99,2
0.051,99,2
0.052,100,1
0.053,99,2
0.054,100,1
0.055,99,2
0.056,99,2
0.057,100,1
0.058,100,1
0.059,100,1
0.06,100,1
0.061,100,1
0.062,100,1
0.063,100,1
0.064,100,1
0.065,100,1
0.066,100,1
0.067,100,1
0.068,100,1
0.069,100,1
0.07,100,1
0.071,100,1
0.072,99,2
0.073,100,1
0.074,99,2
0.075,99,2
0.076,100,1
0.077,100,1
0.078,100,1
0.079,100,1
0.08,100,1
0.081,100,1
0.082,100,1
0.083,100,1
0.084,99,2
0.085,100,1
0.086,100,1
0.087,99,2
0.088,100,1
0.089,100,1
0.09,100,1
0.091,100,1
0.092,98,2
0.093,100,1
0.094,98,2
0.095,100,1
0.096,100,1
0.097,100,1
0.098,100,1
0.099,100,1
0.1,100,1
0.101,99,2
0.102,98,2
0.103,100,1
0.104,99,2
0.105,100,1
0.106,99,2
0.107,99,2
0.108,97,2
0.109,100,1
0.11,98,2
0.111,100,1
0.112,99,2
0.113,99,2
0.114,100,1
0.115,100,1
0.116,99,2
0.117,99,2
0.118,99,2
0.119,98,3
0.12,100,1
0.121,100,1
0.122,99,2
0.123,99,2
0.124,99,2
0.125,100,1
0.126,100,1
0.127,100,1
0.128,100,1
0.129,100,1
0.13,98,2
0.131,100,1
0.132,100,1
0.133,100,1
0.134,100,1
0.135,100,1
0.136,100,1
0.137,99,2
0.138,100,1
0.139,100,1
0.14,99,2
0.141,100,1
0.142,100,1
0.143,99,2
0.144,99,2
0.145,100,1
0.146,100,1
0.147,100,1
0.148,99,2
0.149,100,1
0.15,99,2
0.151,99,2
0.152,100,1
0.153,100,1
0.154,99,2
0.155,100,1
0.156,99,2
0.157,99,2
0.158,100,1
0.159,100,1
0.16,100,1
0.161,99,2
0.162,99,2
0.163,98,2
0.164,100,1
0.165,99,2
0.166,99,2
0.167,100,1
0.168,99,2
0.169,99,2
0.17,99,2
0.171,99,2
0.172,98,2
0.173,99,2
0.174,100,1
0.175,99,2
0.176,100,1
0.177,98,2
0.178,99,2
0.179,99,2
0.18,99,2
0.181,98,2
0.182,99,2
0.183,99,2
0.184,100,1
0.185,100,1
0.186,99,2
0.187,98,2
0.188,100,1
0.189,98,2
0.19,100,1
0.191,100,1
0.192,100,1
0.193,100,1
