Q,CC,MaxCC
0,10000,1
0.001,9292,7
0.002,8555,9
0.003,7888,13
0.004,7170,25
0.005,6364,52
0.006,5696,195
0.007,4935,331
0.008,4258,3077
0.009,3629,4208
0.01,3151,5299
0.011,2712,6317
0.012,2359,6817
0.013,2068,7264
0.014,1719,7817
0.015,1500,8154
0.016,1285,8486
0.017,1118,8673
0.018,1007,8819
0.019,885,8986
0.02,803,9091
0.021,700,9204
0.022,580,9357
0.023,534,9413
0.024,496,9458
0.025,416,9548
0.026,349,9617
0.027,361,9609
0.028,320,9652
0.029,232,9738
0.03,275,9717
0.031,227,9763
0.032,180,9812
0.033,174,9817
0.034,153,9843
0.035,137,9858
0.036,127,9867
0.037,114,9884
0.038,96,9902
0.039,100,9894
0.04,87,9907
0.041,89,9903
0.042,65,9931
0.043,74,9926
0.044,77,9922
0.045,57,9943
0.046,63,9933
0.047,56,9941
0.048,54,9946
0.049,45,9953
0.05,45,9954
0.051,56,9942
0.052,39,9960
0.053,41,9957
0.054,35,9965
0.055,33,9966
0.056,50,9950
0.057,32,9968
0.058,28,9968
0.059,30,9970
0.06,33,9967
0.061,26,9975
0.062,30,9971
0.063,27,9974
0.064,25,9976
0.065,26,9974
0.066,31,9970
0.067,19,9981
0.068,25,9976
0.069,26,9974
0.07,13,9988
0.071,22,9979
0.072,18,9983
0.073,17,9984
0.074,16,9985
0.075,29,9971
0.076,21,9980
0.077,12,9989
0.078,18,9983
0.079,15,9985
0.08,21,9978
0.081,17,9984
0.082,16,9984
0.083,16,9983
0.084,12,9989
0.085,19,9982
0.086,9,9991
0.087,14,9987
0.088,13,9986
0.089,6,9995
0.09,16,9985
0.091,12,9989
0.092,12,9989
0.093,16,9985
0.094,7,9994
0.095,6,9995
0.096,11,9990
0.097,6,9995
0.098,9,9992
0.099,6,9995
0.1,6,9995
0.101,13,9987
0.102,8,9993
0.103,13,9988
0.104,9,9992
0.105,9,9992
0.106,5,9996
0.107,6,9995
0.108,8,9993
0.109,7,9994
0.11,5,9996
0.111,7,9993
0.112,5,9996
0.113,9,9992
0.114,7,9993
0.115,7,9994
0.116,5,9996
0.117,7,9994
0.118,6,9995
0.119,7,9993
0.12,9,9992
0.121,9,9992
0.122,9,9992
0.123,7,9993
0.124,12,9989
0.125,6,9995
0.126,8,9993
0.127,6,9995
0.128,10,9991
0.129,6,9995
0.13,6,9995
0.131,11,9989
0.132,7,9994
0.133,6,9995
0.134,6,9995
0.135,1,10000
0.136,5,9996
0.137,7,9994
0.138,2,9999
0.139,7,9994
0.14,5,9996
0.141,3,9998
0.142,4,9997
0.143,4,9997
0.144,6,9995
0.145,6,9995
0.146,4,9997
0.147,5,9996
0.148,6,9995
0.149,4,9997
0.15,7,9994
0.151,8,9993
0.152,4,9997
0.153,4,9997
0.154,6,9995
0.155,2,9999
0.156,6,9995
0.157,3,9998
0.158,5,9996
0.159,6,9995
0.16,4,9997
0.161,4,9997
0.162,4,9997
0.163,3,9998
0.164,8,9993
0.165,3,9998
0.166,2,9999
0.167,1,10000
0.168,3,9998
0.169,8,9993
0.17,8,9993
0.171,2,9999
0.172,2,9999
0.173,1,10000
0.174,4,9997
0.175,2,9999
0.176,1,10000
0.177,3,9998
0.178,4,9997
0.179,4,9997
0.18,8,9993
0.181,1,10000
0.182,2,9999
0.183,5,9996
0.184,1,10000
0.185,1,10000
0.186,5,9996
0.187,2,9999
0.188,2,9999
0.189,5,9996
0.19,4,9997
0.191,7,9994
0.192,5,9996
0.193,2,9999
0.194,5,9996
0.195,4,9997
0.196,2,9999
0.197,7,9993
0.198,1,10000
0.199,1,10000
0.2,5,9996
0.201,4,9997
0.202,3,9998
0.203,1,10000
0.204,3,9998
0.205,3,9998
0.206,1,10000
0.207,2,9999
0.208,3,9998
0.209,2,9999
0.21,2,9999
0.211,3,9998
0.212,1,10000
0.213,2,9999
0.214,1,10000
0.215,2,9999
0.216,4,9997
0.217,1,10000
0.218,1,10000
0.219,3,9998
0.22,2,9999
0.221,3,9998
0.222,3,9998
0.223,3,9998
0.224,5,9996
0.225,1,10000
0.226,3,9997
0.227,4,9997
0.228,1,10000
0.229,1,10000
0.23,1,10000
0.231,3,9998
0.232,3,9998
0.233,2,9999
0.234,2,9999
0.235,2,9999
0.236,3,9998
0.237,3,9998
0.238,3,9998
0.239,3,9998
0.24,4,9997
0.241,2,9999
0.242,3,9998
0.243,4,9997
0.244,1,10000
0.245,1,10000
0.246,3,9998
0.247,1,10000
0.248,2,9999
0.249,3,9998
0.25,1,10000
0.251,2,9999
0.252,2,9999
0.253,2,9999
0.254,1,10000
0.255,3,9998
0.256,1,10000
0.257,3,9998
0.258,3,9998
0.259,2,9999
0.26,1,10000
0.261,3,9998
0.262,3,9998
0.263,1,10000
0.264,2,9999
0.265,1,10000
0.266,1,10000
0.267,2,9999
0.268,3,9998
0.269,3,9998
0.27,2,9999
0.271,4,9997
0.272,3,9998
0.273,2,9999
0.274,3,9998
0.275,1,10000
0.276,1,10000
0.277,3,9998
0.278,2,9999
0.279,1,10000
0.28,1,10000
0.281,2,9999
0.282,3,9998
0.283,1,10000
0.284,1,10000
0.285,2,9999
0.286,1,10000
0.287,1,10000
0.288,3,9998
0.289,2,9999
0.29,2,9999
0.291,4,9997
0.292,2,9999
0.293,2,9999
0.294,1,10000
0.295,1,10000
0.296,2,9999
0.297,3,9998
0.298,1,10000
0.299,1,10000
0.3,2,9999
0.301,2,9999
