Q,CC,MaxCC
0,400,1
0.001,399,2
0.002,398,2
0.003,395,2
0.004,394,2
0.005,391,2
0.006,392,3
0.007,391,2
0.008,394,2
0.009,390,2
0.01,393,2
0.011,390,3
0.012,382,3
0.013,380,4
0.014,384,2
0.015,383,4
0.016,385,2
0.017,379,3
0.018,384,3
0.019,380,3
0.02,385,2
0.021,384,4
0.022,371,3
0.023,367,4
0.024,374,3
0.025,374,3
0.026,370,3
0.027,372,3
0.028,377,3
0.029,366,6
0.03,366,3
0.031,361,3
0.032,371,4
0.033,367,4
0.034,356,4
0.035,364,4
0.036,357,6
0.037,355,6
0.038,359,5
0.039,366,3
0.04,347,5
0.041,357,4
0.042,356,4
0.043,361,5
0.044,338,6
0.045,345,5
0.046,349,5
0.047,355,4
0.048,339,4
0.049,348,7
0.05,352,4
0.051,335,6
0.052,354,3
0.053,345,5
0.054,319,7
0.055,350,4
0.056,335,5
0.057,326,5
0.058,335,6
0.059,344,5
0.06,335,4
0.061,321,6
0.062,331,9
0.063,334,4
0.064,328,6
0.065,323,6
0.066,337,5
0.067,333,8
0.068,312,9
0.069,326,8
0.07,314,6
0.071,326,12
0.072,351,7
0.073,327,7
0.074,314,9
0.075,302,7
0.076,321,10
0.077,305,7
0.078,303,8
0.079,317,7
0.08,316,9
0.081,301,8
0.082,300,10
0.083,303,12
0.084,318,5
0.085,280,10
0.086,279,16
0.087,299,10
0.088,315,7
0.089,298,7
0.09,305,5
0.091,286,14
0.092,292,6
0.093,312,10
0.094,307,8
0.095,279,10
0.096,298,7
0.097,281,12
0.098,298,8
0.099,281,12
0.1,281,11
0.101,264,10
0.102,300,10
0.103,292,9
0.104,292,8
0.105,296,10
0.106,277,8
0.107,299,11
0.108,265,7
0.109,284,12
0.11,289,12
0.111,270,11
0.112,269,12
0.113,286,8
0.114,283,6
0.115,279,8
0.116,270,11
0.117,260,8
0.118,259,12
0.119,267,10
0.12,252,20
0.121,276,10
0.122,261,12
0.123,279,23
0.124,242,28
0.125,263,12
0.126,264,15
0.127,273,14
0.128,256,19
0.129,254,20
0.13,261,13
0.131,253,20
0.132,247,14
0.133,239,14
0.134,243,14
0.135,250,16
0.136,246,11
0.137,236,13
0.138,249,12
0.139,259,18
0.14,237,12
0.141,240,23
0.142,244,11
0.143,233,21
0.144,240,15
0.145,252,17
0.146,237,16
0.147,234,19
0.148,240,19
0.149,233,20
0.15,220,13
0.151,227,13
0.152,215,13
0.153,235,21
0.154,221,24
0.155,242,20
0.156,237,15
0.157,242,20
0.158,224,18
0.159,254,17
0.16,230,21
0.161,220,29
0.162,243,13
0.163,237,11
0.164,217,34
0.165,235,17
0.166,218,30
0.167,211,16
0.168,224,15
0.169,212,18
0.17,218,20
0.171,219,27
0.172,200,31
0.173,213,21
0.174,215,14
0.175,223,24
0.176,214,26
0.177,197,22
