Q,CC,MaxCC
0,2500,1
0.001,2452,3
0.002,2398,3
0.003,2354,4
0.004,2312,5
0.005,2276,5
0.006,2224,5
0.007,2154,7
0.008,2122,8
0.009,2065,8
0.01,2071,11
0.011,2028,10
0.012,1974,12
0.013,1892,13
0.014,1879,15
0.015,1816,12
0.016,1806,16
0.017,1727,24
0.018,1665,26
0.019,1603,39
0.02,1656,17
0.021,1589,41
0.022,1553,28
0.023,1533,45
0.024,1442,32
0.025,1365,82
0.026,1364,53
0.027,1319,77
0.028,1270,131
0.029,1172,120
0.03,1148,461
0.031,1127,199
0.032,1127,173
0.033,1114,307
0.034,1049,304
0.035,971,636
0.036,953,589
0.037,870,1053
0.038,813,1211
0.039,887,878
0.04,840,1230
0.041,813,1273
0.042,759,872
0.043,720,1446
0.044,668,1628
0.045,600,1669
0.046,634,1609
0.047,614,1610
0.048,544,1744
0.049,516,1804
0.05,494,1786
0.051,518,1805
0.052,463,1877
0.053,481,1869
0.054,481,1874
0.055,463,1886
0.056,474,1844
0.057,400,1983
0.058,380,2014
0.059,403,1940
0.06,411,1954
0.061,338,2078
0.062,364,2032
0.063,391,1961
0.064,348,2056
0.065,296,2136
0.066,292,2153
0.067,306,2125
0.068,260,2189
0.069,254,2207
0.07,255,2207
0.071,277,2168
0.072,231,2228
0.073,231,2238
0.074,249,2214
0.075,226,2241
0.076,208,2263
0.077,208,2256
0.078,229,2235
0.079,178,2303
0.08,171,2307
0.081,182,2302
0.082,174,2293
0.083,191,2274
0.084,164,2305
0.085,162,2312
0.086,154,2327
0.087,168,2309
0.088,179,2297
0.089,131,2359
0.09,118,2359
0.091,138,2342
0.092,135,2352
0.093,135,2357
0.094,115,2366
0.095,123,2363
0.096,128,2366
0.097,133,2345
0.098,115,2370
0.099,107,2388
0.1,121,2368
0.101,89,2407
0.102,76,2410
0.103,87,2410
0.104,88,2401
0.105,115,2375
0.106,88,2408
0.107,100,2390
0.108,84,2412
0.109,86,2411
0.11,90,2406
0.111,79,2417
0.112,94,2386
0.113,83,2408
0.114,63,2436
0.115,70,2426
0.116,64,2436
0.117,51,2443
0.118,71,2424
0.119,68,2429
0.12,56,2440
0.121,57,2444
0.122,48,2448
0.123,50,2449
0.124,52,2447
0.125,56,2439
0.126,52,2444
0.127,35,2465
0.128,39,2460
0.129,50,2449
0.13,48,2444
0.131,35,2464
0.132,47,2448
0.133,46,2451
0.134,34,2466
0.135,39,2457
0.136,45,2453
0.137,36,2460
0.138,52,2445
0.139,39,2460
0.14,41,2459
0.141,32,2469
0.142,31,2468
0.143,32,2468
0.144,33,2467
0.145,24,2474
0.146,30,2469
0.147,31,2469
0.148,21,2479
0.149,33,2466
0.15,36,2462
0.151,25,2474
0.152,28,2471
0.153,29,2465
0.154,21,2479
0.155,22,2479
0.156,23,2478
0.157,23,2477
0.158,17,2484
0.159,24,2477
0.16,28,2472
0.161,25,2471
0.162,24,2476
0.163,29,2469
0.164,20,2477
0.165,22,2478
0.166,26,2475
0.167,24,2477
0.168,24,2475
0.169,21,2479
0.17,21,2480
0.171,15,2484
0.172,18,2483
0.173,19,2480
0.174,13,2487
0.175,18,2480
0.176,13,2486
0.177,13,2487
0.178,18,2482
0.179,19,2481
0.18,13,2488
0.181,11,2490
0.182,12,2489
0.183,19,2482
0.184,8,2491
0.185,11,2489
0.186,22,2477
0.187,16,2485
0.188,13,2488
0.189,13,2487
0.19,19,2480
0.191,15,2485
0.192,18,2482
0.193,18,2482
0.194,16,2484
0.195,7,2494
0.196,13,2485
0.197,18,2482
0.198,13,2487
0.199,5,2496
0.2,19,2482
0.201,14,2484
0.202,9,2491
0.203,9,2492
0.204,9,2492
0.205,9,2491
0.206,18,2481
0.207,11,2490
0.208,13,2487
0.209,16,2482
0.21,7,2492
0.211,8,2493
