Q,CC,MaxCC
0,2500,1
0.001,2498,2
0.002,2496,2
0.003,2489,2
0.004,2490,3
0.005,2482,2
0.006,2484,2
0.007,2476,3
0.008,2474,2
0.009,2476,2
0.01,2475,2
0.011,2479,2
0.012,2465,3
0.013,2468,2
0.014,2446,3
0.015,2449,3
0.016,2450,4
0.017,2454,3
0.018,2455,3
0.019,2439,4
0.02,2437,3
0.021,2435,3
0.022,2432,3
0.023,2431,4
0.024,2422,3
0.025,2426,3
0.026,2420,4
0.027,2422,3
0.028,2413,3
0.029,2414,3
0.03,2414,4
0.031,2410,3
0.032,2401,4
0.033,2398,3
0.034,2391,4
0.035,2402,4
0.036,2376,4
0.037,2389,4
0.038,2395,4
0.039,2396,3
0.04,2380,3
0.041,2369,4
0.042,2372,5
0.043,2366,5
0.044,2374,5
0.045,2368,4
0.046,2365,4
0.047,2354,3
0.048,2367,4
0.049,2351,3
0.05,2354,4
0.051,2359,6
0.052,2339,5
0.053,2347,4
0.054,2345,5
0.055,2342,4
0.056,2326,4
0.057,2322,4
0.058,2332,4
0.059,2328,4
0.06,2328,4
0.061,2334,4
0.062,2290,5
0.063,2323,7
0.064,2321,6
0.065,2322,4
0.066,2309,5
0.067,2308,4
0.068,2292,6
0.069,2294,5
0.07,2291,6
0.071,2277,4
0.072,2267,5
0.073,2281,5
0.074,2283,5
0.075,2257,7
0.076,2265,4
0.077,2244,4
0.078,2275,5
0.079,2287,5
0.08,2260,5
0.081,2270,4
0.082,2253,5
0.083,2234,4
0.084,2270,5
0.085,2214,10
0.086,2242,6
0.087,2264,6
0.088,2219,6
0.089,2242,5
0.09,2252,5
0.091,2218,4
0.092,2248,6
0.093,2242,5
0.094,2192,5
0.095,2207,6
0.096,2230,7
0.097,2183,4
0.098,2171,7
0.099,2186,6
0.1,2247,5
0.101,2178,6
0.102,2210,5
0.103,2160,7
0.104,2181,7
0.105,2176,5
0.106,2207,7
0.107,2174,6
0.108,2200,7
0.109,2150,7
0.11,2178,5
0.111,2168,5
0.112,2172,10
0.113,2148,8
0.114,2136,9
0.115,2147,7
0.116,2174,7
0.117,2160,9
0.118,2130,6
0.119,2135,11
0.12,2171,6
0.121,2136,7
0.122,2125,6
0.123,2126,9
0.124,2172,6
0.125,2120,7
0.126,2106,7
0.127,2121,6
0.128,2107,9
0.129,2109,8
0.13,2136,7
0.131,2104,11
0.132,2074,7
0.133,2119,6
0.134,2091,6
0.135,2087,6
0.136,2072,8
0.137,2098,7
0.138,2073,7
0.139,2089,7
0.14,2090,7
0.141,2087,8
0.142,2075,10
0.143,2050,7
0.144,2056,9
0.145,2042,11
0.146,2072,6
0.147,2073,8
0.148,2022,9
0.149,2038,6
0.15,2056,5
0.151,2047,9
0.152,2049,7
0.153,2047,8
0.154,2054,6
0.155,2040,8
0.156,2023,9
0.157,2058,6
0.158,2061,6
0.159,2007,8
0.16,2038,8
0.161,2047,9
0.162,1977,7
0.163,2020,7
0.164,2041,7
0.165,2001,12
0.166,2014,7
0.167,2019,8
0.168,1989,8
0.169,1972,10
0.17,1995,7
0.171,1954,10
0.172,1983,10
0.173,1951,8
0.174,1970,13
0.175,1980,7
0.176,1966,7
0.177,1979,8
0.178,1998,9
0.179,1989,11
0.18,1953,8
0.181,1974,10
0.182,1944,8
0.183,1922,9
0.184,1957,11
0.185,1943,7
0.186,1955,9
0.187,1918,10
0.188,1906,9
0.189,1904,9
0.19,1920,11
0.191,1948,8
0.192,1923,10
0.193,1879,10
0.194,1936,9
0.195,1923,14
0.196,1950,10
0.197,1921,8
0.198,1956,11
0.199,1947,9
0.2,1911,8
0.201,1887,11
0.202,1834,12
0.203,1894,15
0.204,1923,10
0.205,1917,9
0.206,1902,8
0.207,1877,9
0.208,1903,11
0.209,1884,8
0.21,1873,15
0.211,1898,8
0.212,1862,10
0.213,1847,12
0.214,1850,12
0.215,1858,13
0.216,1904,9
0.217,1820,11
0.218,1814,12
0.219,1834,12
0.22,1887,10
0.221,1892,12
0.222,1849,12
0.223,1835,12
0.224,1869,9
0.225,1875,8
0.226,1843,12
0.227,1862,13
0.228,1836,12
0.229,1825,12
0.23,1832,12
0.231,1848,9
0.232,1821,17
0.233,1854,10
0.234,1826,11
0.235,1769,13
0.236,1829,13
0.237,1809,14
0.238,1812,18
0.239,1782,13
0.24,1779,13
0.241,1795,16
0.242,1772,11
0.243,1800,13
0.244,1794,15
0.245,1718,12
0.246,1765,17
0.247,1735,11
0.248,1763,13
0.249,1763,12
0.25,1785,17
0.251,1772,11
0.252,1771,14
0.253,1791,11
0.254,1779,12
0.255,1760,12
0.256,1720,13
0.257,1743,16
0.258,1697,13
0.259,1773,15
0.26,1761,12
0.261,1711,13
0.262,1740,18
0.263,1690,12
0.264,1688,13
0.265,1717,14
0.266,1660,17
0.267,1752,15
0.268,1735,14
0.269,1707,13
0.27,1740,17
0.271,1711,13
0.272,1739,10
0.273,1732,12
0.274,1737,14
0.275,1701,15
0.276,1673,15
0.277,1724,16
0.278,1681,19
0.279,1656,12
0.28,1675,14
0.281,1685,13
0.282,1679,13
0.283,1706,29
0.284,1714,14
0.285,1699,14
0.286,1666,13
0.287,1678,11
0.288,1651,22
0.289,1667,12
0.29,1699,14
0.291,1630,15
0.292,1655,12
0.293,1574,27
0.294,1600,19
0.295,1644,16
0.296,1651,14
0.297,1651,24
0.298,1641,16
0.299,1680,17
0.3,1665,12
0.301,1643,20
0.302,1628,19
0.303,1599,17
0.304,1672,19
0.305,1624,18
0.306,1613,16
0.307,1634,14
0.308,1592,13
0.309,1649,26
0.31,1585,15
0.311,1576,19
0.312,1628,13
0.313,1604,15
0.314,1578,20
0.315,1572,15
0.316,1596,23
0.317,1599,12
0.318,1582,19
0.319,1581,19
0.32,1569,18
0.321,1564,17
0.322,1600,17
0.323,1610,15
0.324,1560,17
0.325,1513,23
0.326,1545,16
0.327,1557,23
0.328,1574,19
0.329,1569,16
0.33,1584,13
0.331,1575,17
0.332,1542,15
0.333,1589,13
0.334,1555,14
0.335,1561,15
0.336,1545,17
0.337,1594,16
0.338,1545,16
0.339,1547,14
0.34,1516,16
0.341,1529,25
0.342,1519,27
0.343,1544,26
0.344,1512,26
0.345,1536,14
0.346,1471,16
0.347,1487,16
0.348,1493,17
0.349,1525,15
0.35,1497,18
0.351,1501,27
0.352,1515,23
0.353,1477,21
0.354,1545,17
0.355,1459,24
0.356,1505,22
0.357,1467,15
0.358,1484,26
0.359,1488,18
0.36,1468,16
0.361,1458,21
0.362,1468,19
0.363,1535,26
0.364,1460,16
0.365,1470,18
0.366,1474,17
0.367,1510,19
0.368,1487,17
0.369,1374,21
0.37,1435,18
0.371,1422,17
0.372,1428,21
0.373,1433,17
0.374,1491,14
0.375,1415,22
0.376,1465,16
0.377,1461,32
0.378,1484,20
0.379,1444,18
0.38,1440,38
0.381,1420,27
0.382,1425,19
0.383,1431,25
0.384,1408,16
0.385,1410,30
0.386,1432,20
0.387,1406,21
0.388,1475,16
0.389,1399,15
0.39,1422,16
0.391,1373,17
0.392,1389,22
0.393,1459,21
0.394,1421,18
0.395,1404,24
0.396,1378,28
0.397,1389,32
0.398,1376,16
0.399,1368,32
0.4,1372,22
0.401,1362,26
0.402,1417,21
0.403,1375,17
0.404,1402,18
0.405,1408,25
0.406,1353,22
0.407,1372,20
0.408,1398,22
0.409,1359,20
0.41,1394,19
0.411,1320,18
0.412,1408,29
0.413,1410,17
0.414,1348,21
0.415,1409,18
0.416,1318,27
0.417,1345,29
0.418,1385,20
0.419,1315,17
0.42,1325,22
0.421,1362,22
0.422,1330,20
0.423,1338,22
0.424,1314,20
0.425,1332,21
0.426,1295,23
0.427,1335,28
0.428,1323,23
0.429,1293,24
0.43,1320,26
0.431,1286,26
0.432,1296,19
0.433,1354,27
0.434,1345,22
0.435,1294,23
0.436,1225,32
0.437,1293,25
0.438,1342,28
0.439,1266,28
0.44,1256,37
0.441,1289,34
0.442,1307,25
0.443,1260,23
0.444,1316,28
0.445,1242,30
0.446,1269,25
0.447,1332,18
0.448,1262,27
0.449,1285,19
0.45,1213,26
0.451,1253,29
0.452,1324,22
0.453,1253,33
0.454,1290,38
0.455,1293,24
0.456,1234,24
0.457,1258,21
0.458,1223,21
0.459,1212,22
0.46,1250,23
0.461,1250,21
0.462,1234,21
0.463,1276,26
0.464,1217,28
0.465,1275,28
0.466,1267,22
0.467,1239,22
0.468,1239,24
0.469,1286,20
0.47,1207,24
0.471,1271,21
0.472,1212,24
0.473,1234,26
0.474,1277,26
0.475,1207,31
0.476,1299,21
0.477,1210,31
0.478,1230,24
0.479,1263,27
0.48,1180,23
0.481,1206,22
0.482,1200,27
0.483,1127,34
0.484,1171,56
0.485,1170,25
0.486,1184,30
0.487,1216,29
0.488,1208,23
0.489,1189,25
0.49,1189,24
0.491,1166,28
0.492,1177,25
0.493,1168,25
0.494,1141,29
0.495,1163,23
0.496,1189,21
0.497,1192,26
0.498,1203,35
0.499,1143,26
0.5,1165,40
0.501,1180,28
0.502,1139,27
0.503,1204,20
0.504,1137,37
0.505,1132,28
0.506,1187,28
0.507,1169,27
0.508,1199,27
0.509,1098,23
0.51,1141,36
0.511,1173,32
0.512,1134,35
0.513,1188,34
0.514,1130,25
0.515,1162,37
0.516,1162,34
0.517,1090,38
0.518,1119,27
0.519,1136,39
0.52,1127,31
0.521,1096,41
0.522,1148,29
0.523,1109,37
0.524,1121,26
0.525,1153,26
0.526,1061,27
0.527,1112,30
0.528,1156,35
0.529,1092,28
0.53,1091,24
0.531,1067,42
0.532,1070,62
0.533,1099,37
0.534,1089,43
0.535,1109,49
0.536,1059,43
0.537,1103,40
0.538,1044,33
0.539,1058,29
0.54,1099,35
0.541,1095,38
0.542,1083,30
0.543,1042,34
0.544,1076,34
0.545,1098,43
0.546,1067,25
0.547,1083,25
0.548,1085,23
0.549,1113,32
0.55,1040,58
0.551,1052,44
0.552,1062,38
0.553,1005,38
0.554,1080,26
0.555,1042,36
0.556,1057,27
0.557,1023,39
0.558,1050,24
0.559,1070,22
0.56,1017,32
0.561,1052,36
0.562,1075,37
0.563,1022,31
0.564,1050,23
0.565,1063,31
0.566,1065,31
0.567,1055,39
0.568,1041,30
0.569,1035,41
0.57,1046,27
0.571,994,33
0.572,980,52
0.573,1023,44
0.574,1014,22
0.575,1024,31
0.576,1002,44
0.577,997,58
0.578,1041,47
0.579,1010,55
