Q,CC,MaxCC
0,10000,1
0.001,9948,3
0.002,9908,3
0.003,9860,3
0.004,9804,3
0.005,9766,4
0.006,9710,3
0.007,9687,4
0.008,9640,5
0.009,9610,6
0.01,9541,4
0.011,9480,4
0.012,9407,4
0.013,9367,5
0.014,9318,5
0.015,9247,6
0.016,9269,5
0.017,9237,6
0.018,9159,6
0.019,9040,6
0.02,9019,6
0.021,8981,7
0.022,9021,6
0.023,8878,8
0.024,8827,8
0.025,8791,9
0.026,8754,10
0.027,8758,9
0.028,8665,14
0.029,8548,10
0.03,8499,11
0.031,8543,10
0.032,8396,8
0.033,8453,8
0.034,8347,11
0.035,8262,11
0.036,8329,10
0.037,8223,12
0.038,8247,9
0.039,8111,10
0.04,8092,17
0.041,8102,9
0.042,7985,10
0.043,7847,18
0.044,7951,12
0.045,7876,13
0.046,7750,13
0.047,7790,11
0.048,7698,18
0.049,7688,15
0.05,7608,14
0.051,7472,15
0.052,7568,13
0.053,7474,16
0.054,7388,21
0.055,7284,16
0.056,7301,14
0.057,7227,23
0.058,7316,20
0.059,7206,20
0.06,7169,19
0.061,7167,16
0.062,6966,26
0.063,6954,26
0.064,7005,17
0.065,6952,21
0.066,6856,24
0.067,6822,21
0.068,6703,22
0.069,6766,19
0.07,6693,28
0.071,6584,30
0.072,6561,22
0.073,6510,36
0.074,6482,25
0.075,6360,33
0.076,6319,28
0.077,6234,30
0.078,6252,26
0.079,6235,37
0.08,6201,32
0.081,6145,31
0.082,6149,27
0.083,6145,42
0.084,6031,26
0.085,5946,33
0.086,5939,44
0.087,5945,30
0.088,5917,30
0.089,5782,48
0.09,5778,46
0.091,5766,49
0.092,5673,37
0.093,5717,34
0.094,5564,33
0.095,5640,45
0.096,5511,38
0.097,5341,50
0.098,5523,49
0.099,5349,70
0.1,5315,49
0.101,5378,57
0.102,5231,52
0.103,5123,71
0.104,5120,66
0.105,4974,63
0.106,5076,66
0.107,4971,64
0.108,5062,98
0.109,4935,62
0.11,4963,50
0.111,4848,61
0.112,4823,89
0.113,4811,72
0.114,4849,134
0.115,4772,69
0.116,4609,88
0.117,4613,75
0.118,4612,72
0.119,4549,121
0.12,4430,81
0.121,4594,80
0.122,4496,133
0.123,4353,104
0.124,4349,129
0.125,4307,110
0.126,4323,137
0.127,4366,128
0.128,4207,135
0.129,4212,155
0.13,4018,102
0.131,4065,117
0.132,4022,128
0.133,3973,90
0.134,3881,163
0.135,3959,187
0.136,3885,269
0.137,3829,154
0.138,3862,136
0.139,3837,181
0.14,3645,237
0.141,3667,180
0.142,3636,161
0.143,3730,308
0.144,3526,152
0.145,3495,181
0.146,3490,250
0.147,3445,307
0.148,3404,234
0.149,3401,461
0.15,3377,223
0.151,3279,267
0.152,3415,392
0.153,3268,258
0.154,3201,307
0.155,3263,262
0.156,3106,361
0.157,3048,309
0.158,3078,476
0.159,3060,446
0.16,3010,337
0.161,3014,436
0.162,2999,518
0.163,2931,349
0.164,2902,504
0.165,2828,367
0.166,2936,348
0.167,2896,463
0.168,2830,494
0.169,2746,329
0.17,2664,540
0.171,2726,650
0.172,2700,423
0.173,2582,573
0.174,2749,998
0.175,2712,577
0.176,2587,539
0.177,2563,503
0.178,2612,549
0.179,2562,607
0.18,2503,550
0.181,2403,1048
0.182,2451,483
0.183,2322,1299
0.184,2353,1226
0.185,2318,1316
0.186,2304,1774
0.187,2212,695
0.188,2186,976
0.189,2233,1706
0.19,2295,490
0.191,2176,1570
0.192,2229,700
0.193,2154,1520
0.194,2144,1180
0.195,2148,1832
0.196,2159,2012
0.197,2007,1197
0.198,2107,3275
0.199,1878,2789
0.2,1949,2662
0.201,1947,2215
0.202,2022,1845
0.203,1848,4953
0.204,1955,3142
0.205,1841,3968
0.206,1874,1356
0.207,1905,1526
0.208,1786,2330
0.209,1883,2676
0.21,1680,5892
0.211,1754,4636
0.212,1795,5835
0.213,1690,5358
0.214,1734,4881
